QuestionID,Question,Answer,Document
Q774,what makes a dwarf planet,A dwarf planet is a planetary-mass object that is neither a planet nor a satellite .,Dwarf planet
Q775,what makes a dwarf planet,"More explicitly, the International Astronomical Union (IAU) defines a dwarf planet as a celestial body in direct orbit of the Sun that is massive enough for its shape to be controlled by gravitation , but that unlike a planet has not cleared its orbital region of other objects.",Dwarf planet
Q776,when did jack lalanne die,"Francois Henri ""Jack"" LaLanne (September 26, 1914 - January 23, 2011) was an American fitness , exercise , and nutritional expert and motivational speaker who is sometimes called ""the godfather of fitness"" and the ""first fitness superhero.""",Jack LaLanne
Q777,who made the original care bears,The Care Bears are characters created by American Greetings in 1981 for use on greeting cards .,Care Bears
Q778,what states does interstate 70 travel through,"Interstate 70 (I-70) is an Interstate Highway in the United States that runs from Interstate 15 near Cove Fort, Utah , to a Park and Ride near Baltimore, Maryland .",Interstate 70
Q779,when do solar eclipses happen?,"As seen from the Earth , a solar eclipse occurs when the Moon passes between the Sun and Earth, and the Moon fully or partially blocks ("" occults "") the Sun.",Solar eclipse
Q780,where do mangos come from,"The mango is native to South Asia , from where it has been distributed worldwide to become one of the most cultivated fruits in the tropics .",Mango
Q781,what latitude is tropic of cancer,It currently (Year 2013) lies at 23° 26′ 15.143′′ north of the Equator.,Tropic of cancer
Q782,what video format will play in a DVD player,"Discs using the DVD-Video specification require a DVD drive and an H.262/MPEG-2 Part 2 decoder (e.g., a DVD player, or a computer DVD drive with a software DVD player).",DVD-Video
Q783,what part of the government governs the US post office?,"The United States Postal Service (USPS), also known as the Post Office and U.S. Mail, is an independent agency of the United States federal government responsible for providing postal service in the United States.",United States Postal Service
Q784,what state is the capital in,"Washington, D.C. has been the capital of the United States since 1800.",List of capitals in the United States
Q785,what are square diamonds called?,The face-up shape of the princess cut is square or rectangular and the profile or side-on shape is similar to that of an inverted pyramid with four beveled sides.,Princess cut
Q786,what motor does a 2001 monte carlo,"The Monte Carlo SS was revived from 2000 to 2007 and initially powered by 3.8-liter V6 (supercharged in 2004–2005), later to be replaced by a 5.3-liter V8 for 2006–2007.",Chevrolet Monte Carlo
Q787,where scottsdale?,"Scottsdale ( O'odham Vaṣai S-vaṣonĭ; Yaqui Eskatel) is a city in the eastern part of Maricopa County, Arizona , United States , adjacent to Phoenix .","Scottsdale, Arizona"
Q788,who has brad pitt dated,"Following a high-profile relationship with actress Gwyneth Paltrow , Pitt was married to actress Jennifer Aniston for five years.",Brad Pitt
Q789,what is a dogs classification,"The domestic dog (Canis lupus familiaris) is a subspecies of the gray wolf (Canis lupus), a member of the Canidae family of the mammalian order Carnivora .",Dog
Q790,what year was President kennedy president?,"John Fitzgerald ""Jack"" Kennedy (May 29, 1917 – November 22, 1963), often referred to by his initials JFK, was the 35th President of the United States , serving from 1961 until his death in 1963.",John F. Kennedy
Q791,who owns popeyes chicken,"Often referred to as Popeyes and sometimes as Popeyes Chicken & Biscuits or Popeyes Chicken & Seafood, It was acquired by Sandy Springs, Georgia -based AFC Enterprises , originally America's Favorite Chicken Company, in 1993.",Popeyes Louisiana Kitchen
Q792,what nationality is wendy williams,"Wendy Williams Hunter (born Wendy Joan Williams; July 18, 1964) is an American media personality , actress and author.",Wendy Williams
Q793,who said give me liberty or give me death,"Patrick Henry ""Treason"" speech before the House of Burgesses in an 1851 painting by Peter F. Rothermel","Give me Liberty, or give me Death!"
Q794,who said give me liberty or give me death,"""Give me liberty, or give me death!"" is a quotation attributed to Patrick Henry from a speech he made to the Virginia Convention .","Give me Liberty, or give me Death!"
Q795,what president was theodore roosevelt,"Roosevelt, Jr. ( ; October 27, 1858—January 6, 1919) was the 26th President of the United States (1901–1909).",Theodore Roosevelt
Q796,who starred in webster,"The show stars Emmanuel Lewis in the title role as a young boy who, after losing his parents, is adopted by his NFL -pro godfather, portrayed by Alex Karras , and his new socialite wife, played by Susan Clark .",Webster (TV series)
Q797,what are the most known sports in america,"Four of the nation's five most popular team sports were developed in North America: American football , baseball , basketball and ice hockey , whereas soccer was developed in England.",Sports in the United States
Q798,what are the most known sports in america,"The four Major leagues in the United States are the National Basketball Association (NBA), National Football League (NFL), Major League Baseball (MLB), the National Hockey League (NHL); all enjoy massive media exposure and are considered the preeminent competitions in their respective sports in the world.",Sports in the United States
Q799,what is a monarch to a monarchy,A monarchy is a form of government in which sovereignty is actually or nominally embodied in a single individual (the monarch ).,Monarchy
Q800,"what is an ""N.M?","A newton metre is a unit of torque (also called "" moment "") in the SI system.",Newton metre
Q801,what is adem disease,Acute disseminated encephalomyelitis (ADEM) is an immune mediated disease of the brain .,Acute disseminated encephalomyelitis
Q802,what is adem disease,"It usually occurs following a viral infection but may appear following vaccination , bacterial or parasitic infection, or even appear spontaneously.",Acute disseminated encephalomyelitis
Q803,what year did john adams become  president?,"John Adams (October 30, 1735 ( O.S. October 19, 1735) – July 4, 1826) was the second president of the United States (1797–1801), having earlier served as the first vice president of the United States .",John Adams
Q804,who created bing,"Bing (known previously as Live Search, Windows Live Search, and MSN Search) is a web search engine (advertised as a "" decision engine "") from Microsoft .",Bing
Q805,who made hubble telescope,"The HST was built by the United States space agency NASA , with contributions from the European Space Agency , and is operated by the Space Telescope Science Institute .",Hubble Space Telescope
Q806,what are anti inflammatories,Anti-inflammatory refers to the property of a substance or treatment that reduces inflammation .,Anti-inflammatory
Q807,who sang momma told me not to come,"""Mama Told Me (Not to Come)"" is a song by Randy Newman written for Eric Burdon 's first solo album in 1966.",Mama Told Me Not to Come
Q808,when did andrea doria sink,"Pronounced was an ocean liner for the Italian Line (Società di navigazione Italia) home ported in Genoa , Italy, most famous for its sinking in 1956, when 52 people died (51 from immediate impact).",SS Andrea Doria
Q809,what are dialysis tubes,Dialysis tubing is a type of semi- or partially permeable membrane tubing made from regenerated cellulose or cellophane .,Dialysis tubing
Q810,who designed the statue of liberty,"The Statue of Liberty (Liberty Enlightening the World; French: La Liberté éclairant le monde) is a neoclassical sculpture on Liberty Island in New York Harbor , designed by Frédéric Bartholdi and dedicated on October 28, 1886.",Statue of Liberty
Q811,what is am 2201,AM-2201 (1-(5-fluoropentyl)-3-(1-naphthoyl)indole) is a research chemical that acts as a potent but nonselective full agonist for the cannabinoid receptor .,AM-2201
Q812,who wrote second corinthians,"Paul the Apostle and ""Timothy our brother"" wrote this epistle to ""the church of God which is at Corinth , with all the saints which are in all Achaia "".",Second Epistle to the Corinthians
Q813,who first synthesized heroin,"Heroin (diacetylmorphine or morphine diacetate ( INN )), also known as diamorphine ( BAN ), and colloquially as H, smack, horse, brown, black, tar, and other names, is an opioid analgesic synthesized by C.R. Alder Wright in 1874 by adding two acetyl groups to the molecule morphine , found in the opium poppy .",Heroin
Q814,when did george washington died?,"George Washington ( – , 1799) was the first President of the United States (1789–1797), the commander-in-chief of the Continental Army during the American Revolutionary War , and one of the Founding Fathers of the United States .",George Washington
Q815,when did george washington died?,"He retired from the presidency in 1797 and returned to his home, Mount Vernon , and his domestic life where he managed a variety of enterprises.",George Washington
Q816,what is a wiki platform,"A wiki ( ) is a website which allows its users to add, modify, or delete its content via a web browser usually using a simplified markup language or a rich-text editor .",Wiki
Q817,what are four thirds cameras,The Four Thirds system is a standard created by Olympus and Kodak for digital single-lens reflex camera (DSLR) design and development.<ref name='DPReview.com 2001-02-13'>,Four Thirds system
Q818,who plays dumbledore in harry potter 6,"After Harris' death, Michael Gambon portrayed Dumbledore for all of the remaining films.",Albus Dumbledore
Q819,what type of land is savannah,"A savanna, or savannah, is a grassland ecosystem characterized by the trees being sufficiently widely spaced so that the canopy does not close.",Savanna
Q820,who wrote  nature boy,"""Nature Boy"" is a song by Eden Ahbez , published in 1947.",Nature Boy
Q821,who set the world record for women for high jump,"Stefka Kostadinova ( Bulgaria ) has held the women's world record at since 1987, also the longest-held record in the event.",High jump
Q822,when did playstation 3 first launch,The launch of the PlayStation 3 into the Japanese market on 10 November 2006 marked the second major seventh generation entertainment system to be released.,PlayStation 3 launch
Q823,where does ground pepper come from,"Black pepper (Piper nigrum) is a flowering vine in the family Piperaceae , cultivated for its fruit , which is usually dried and used as a spice and seasoning .",Black pepper
Q824,where does ground pepper come from,"Black pepper is native to south India , and is extensively cultivated there and elsewhere in tropical regions.",Black pepper
Q825,where does ground pepper come from,"Currently Vietnam is the world's largest producer and exporter of pepper, producing 34% of the world's Piper nigrum crop as of 2008.",Black pepper
Q826,what type of ecosystem does stingrays live in,"Stingrays are common in coastal tropical and subtropical marine waters throughout the world, and also includes species found in warmer temperate oceans, such as Dasyatis thetidis , and those found in the deep ocean , such as Plesiobatis daviesi .",Stingray
Q827,who wrote the song cocaine,"""Cocaine"" is a song written and recorded by JJ Cale in 1976, but also known as a cover version recorded by Eric Clapton .",Cocaine (song)
Q828,when did pearl harbor get bombed,"The attack on Pearl Harbor (called Hawaii Operation or Operation AI by the Japanese Imperial General Headquarters (Operation Z in planning) and the Battle of Pearl Harbor) was a surprise military strike conducted by the Imperial Japanese Navy against the United States naval base at Pearl Harbor , Hawaii, on the morning of December 7, 1941 (December 8 in Japan).",Attack on Pearl Harbor
Q829,what religion is primary in africa?,The continent's various populations and individuals are mostly adherents of Christianity or Islam .,Religion in Africa
Q830,who won season 2 of project runway,"The winning designer, Chloe Dao , received $100,000 in seed money to help launch her own line, a 2007 Saturn Sky roadster, a spread in ELLE magazine, and a mentorship with the Banana Republic Design Team.",Project Runway (season 2)
Q831,when did marlins start,The Miami Marlins began play in the 1993 season as the Florida Marlins.,Miami Marlins
Q832,what is a mule in coins,"In numismatics , a mule is a coin or medal minted with obverse and reverse designs not normally seen on the same piece.",Mule (coin)
Q833,where do dungeness crab live,"The Dungeness crab, Metacarcinus magister (formerly Cancer magister), is a species of crab that inhabits eelgrass beds and water bottoms on the west coast of North America .",Dungeness crab
Q834,who plays mary poppins in the movie,"Mary Poppins is a 1964 musical film starring Julie Andrews , Dick Van Dyke , David Tomlinson , and Glynis Johns , produced by Walt Disney , and based on the Mary Poppins books series by P. L. Travers .",Mary Poppins (film)
Q835,what is an arc in a story plot,"A story arc is an extended or continuing storyline in episodic storytelling media such as television , comic books , comic strips , boardgames , video games , and in some cases, films .",Story arc
Q836,What are the different translations for the Bible,"The Bible has been translated into many languages from the biblical languages of Hebrew , Aramaic and Greek .",Bible translations
Q837,What are the different translations for the Bible,"The full Bible has been translated into 518 languages, and 2798 languages have at least some portion of the Bible.",Bible translations
Q838,when does black friday start for christmas,"Black Friday is the day following Thanksgiving Day in the United States , often regarded as the beginning of the Christmas shopping season.",Black Friday (shopping)
Q839,when does black friday start for christmas,"This was taken to a new extreme in 2011, when several retailers (including Target , Kohl's , Macy's , Best Buy , and Bealls ) opened at midnight for the first time.",Black Friday (shopping)
Q840,when does black friday start for christmas,"In 2012, Walmart and several other retailers announced that they would open most of their stores at 8:00 p.m. on Thanksgiving Day (except in states where opening on Thanksgiving is prohibited due to blue laws , such as Massachusetts where they still opened around midnight), prompting calls for a walkout among some workers.",Black Friday (shopping)
Q841,who sang what a wonderful world,It was first recorded by Louis Armstrong and released as a single in 1967.,What a Wonderful World
Q842,what month is the president inaugurated,"The day a presidential inauguration occurs is known as ""Inauguration Day"" and occurs on January 20 (or 21st if the 20th is a Sunday).",United States presidential inauguration
Q843,when did Emperor Justinian die,"Justinian I () (, ) (c. 482 – 14 November 565), commonly known as Justinian the Great, was Byzantine Emperor from 527 to 565.",Justinian I
Q844,what movement was elizabeth cady stanton a part of,"Elizabeth Cady Stanton (November 12, 1815 – October 26, 1902) was an American social activist , abolitionist, and leading figure of the early women's rights movement .",Elizabeth Cady Stanton
Q845,what movement was elizabeth cady stanton a part of,"Her Declaration of Sentiments , presented at the first women's rights convention held in 1848 in Seneca Falls , New York , is often credited with initiating the first organized women's rights and women's suffrage movements in the United States.",Elizabeth Cady Stanton
Q846,what radio station are the boston bruins on?,"The Boston Bruins Radio Network is a 25-station (17 A.M., 8 F.M. plus 2 F.M. translators) CBS Radio network which carries live game broadcasts of the Boston Bruins .",Boston Bruins Radio Network
Q847,what radio station are the boston bruins on?,"The network's flagship station is WBZ-FM /98.5- Boston, Massachusetts .",Boston Bruins Radio Network
Q848,when did ms .drgs go into effect,"DRGs have been used in the US since 1982 to determine how much Medicare pays the hospital for each ""product"", since patients within each category are clinically similar and are expected to use the same level of hospital resources.",Diagnosis-related group
Q849,what are the characteristics of an ethnic group,Ethnicity or ethnic group is a socially defined category based on common culture or nationality .,Ethnic group
Q850,what are the characteristics of an ethnic group,"Ethnicity can, but does not have to, include common ancestry , appearance , cuisine , dressing style, heritage , history , language or dialect , religion , symbols , traditions , or other cultural factor.",Ethnic group
Q851,what are the characteristics of an ethnic group,Ethnic identity is constantly reinforced through common characteristics which set the group apart from other groups.,Ethnic group
Q852,what mountains are on appalachian trail,"The Appalachian National Scenic Trail, generally known as the Appalachian Trail or simply the A.T., is a marked hiking trail in the eastern United States extending between Springer Mountain in Georgia and Mount Katahdin in Maine .",Appalachian Trail
Q853,what are add ons,"Plug-in (computing) , a piece of software which enhances another software application and usually cannot be run independently",Add-on
Q854,what are add ons,"Browser extension , which modifies the interface and/or behavior of web browsers",Add-on
Q855,what are add ons,"Add-on (Mozilla) , a piece of software that enhances and customizes Mozilla-based applications",Add-on
Q856,what are add ons,"Add-ons for Firefox (addons.mozilla.org), the official Mozilla Foundation web site which serves as a repository of add-ons for Mozilla-based applications",Add-on
Q857,what are add ons,"Peripheral , an optional computer hardware component that significantly supplements or enhances the functionality of the original unit",Add-on
Q858,what are add ons,"Video game accessory , a piece of hardware used in conjunction with a video game console for playing video games",Add-on
Q859,what would be the deliverables,"A deliverable could be a report, a document, a server upgrade or any other building block of an overall project.",Deliverable
Q860,what are club seats,"They are usually right next to the Luxury Boxes , either right above, right below, or sandwiched between two levels of Luxury Boxes.",Club seating
Q861,what are club seats,"Club Level seating is considered as higher class than sitting anywhere else in the arena, but lower class compared to the Luxury Boxes.",Club seating
Q862,what school did oprah winfrey help,"The Oprah Winfrey Leadership Academy for Girls - South Africa is a female boarding school founded in January 2007 and located in Henley on Klip near Meyerton , south of Johannesburg , South Africa .",Oprah Winfrey Leadership Academy for Girls
Q863,when did scott pilgrim come out,"Scott Pilgrim vs. the World is a 2010 American comedy film directed by Edgar Wright , based on the graphic novel series Scott Pilgrim by Bryan Lee O'Malley .",Scott Pilgrim vs. the World
Q864,what is a google in math,"A googol is the large number 10100; that is, the digit 1 followed by 100 zeroes :",Googol
Q865,what structure is disulfide bonds,"In chemistry , a disulfide bond (Br.E. disulphide bond) is a covalent bond , usually derived by the coupling of two thiol groups .",Disulfide bond
Q866,what is a redshirt freshman football player,"In United States college athletics , redshirt is a delay or suspension of an athlete's participation in order to lengthen his or her period of eligibility.",Redshirt (college sports)
Q867,who rules communism government,It has a form of government characterized by single-party rule or dominant-party rule of a communist party (referred as Dictatorship of the Proletariat by its proponents) and a professed allegiance to a Leninist or Marxist–Leninist ideology as the guiding principle of the state.,Communist state
Q868,who makes skittles?,"Skittles is a brand of fruit-flavoured sweets , currently produced and marketed by the Wm. Wrigley Jr. Company , a division of Mars, Inc.",Skittles (confectionery)
Q869,what year did South Africa become a team in rugby,"The side has been playing international rugby since 1891, when a British Isles side toured the nation, playing South Africa in their first Test on 30 July.",South Africa national rugby union team
Q870,what is a discipline of study,"An academic discipline, or field of study, is a branch of knowledge that is taught and researched at the college or university level.",List of academic disciplines
Q871,what is a discipline of study,"Disciplines are defined (in part), and recognized by the academic journals in which research is published, and the learned societies and academic departments or faculties to which their practitioners belong.",List of academic disciplines
Q872,who did john f kennedy run against?,Kennedy defeated Vice President and Republican candidate Richard Nixon in the 1960 U.S. presidential election .,John F. Kennedy
Q873,who wrote stand by me,"""Stand by Me"" is a song originally performed by Ben E. King and written by King, Jerry Leiber , and Mike Stoller , inspired by the spiritual ""Lord Stand by Me,"" plus two lines rooted in Psalms 46:2–3.",Stand by Me (song)
Q874,what are metaphors used for,"A metaphor is a figure of speech that describes a subject by asserting that it is, on some point of comparison, the same as another otherwise unrelated object.",Metaphor
Q875,what are metaphors used for,"Metaphor is a type of analogy and is closely related to other rhetorical figures of speech that achieve their effects via association, comparison or resemblance including allegory , hyperbole , and simile .",Metaphor
Q876,what season is  dexter on,"After months of rumors, on April 18, 2013, Showtime announced via social media that season eight would be the final season of Dexter.",Dexter (TV series)
Q877,What are context effects of memory?,Context-dependent memory refers to improved recall of specific episodes or information when the context present at encoding and retrieval are the same.,Context-dependent memory
Q878,what are the names of the ll divos,"Il Divo is a group of four male singers: French pop singer Sébastien Izambard , Spanish baritone Carlos Marín , American tenor David Miller , and Swiss tenor Urs Bühler .",Il Divo
Q879,who won the 1998 world cup,"The tournament was won by France , who beat Brazil 3–0 in the final.",1998 FIFA World Cup
Q880,where did the vietnamese settle in america,"More than sixty percent of Vietnamese Americans reside in the states of California , Texas , Washington , Florida , and Virginia .",Vietnamese American
Q881,What is a 28 day cycle?,"This article focuses on the human menstrual cycle, a ""monthly"" cycle that can vary around an average of ~28 days per cycle.",Menstrual cycle
Q882,when did hitler kill himself,Adolf Hitler committed suicide by gunshot on 30 April 1945 in his Führerbunker in Berlin.,Death of Adolf Hitler
Q883,when did world war 2 end,"World War II (WWII or WW2), also known as the Second World War, was a global war that lasted from 1939 to 1945.",World War II
Q884,what is a llc company?,A limited liability company (LLC) is a flexible form of enterprise that blends elements of partnership and corporate structures.,Limited liability company
Q885,what is a llc company?,An LLC is a legal form of company that provides limited liability to its owners in the vast majority of United States jurisdictions.,Limited liability company
Q886,what are k cups,"K-Cup portion packs are used with Keurig or other single cup brewing systems to brew a cup of coffee , tea , or hot chocolate .",K-Cup
Q887,what is a chronograph watch,A chronograph is a specific type of watch that is used as a stopwatch combined with a display watch.,Chronograph
Q888,what is a PCI port used for,"Conventional PCI (PCI is an initialism formed from Peripheral Component Interconnect, part of the PCI Local Bus standard and often shortened to just PCI) is a local computer bus for attaching hardware devices in a computer .",Conventional PCI
Q889,who won the 1967 nba championship,"The 76ers won the series over the Warriors, 4-2.",1967 NBA Finals
Q890,who make airbus,"Airbus SAS (, , , ) is an aircraft manufacturing subsidiary of EADS , a European aerospace company.",Airbus
Q891,who invented the television,"The earliest proposal was in 1908, in a paper by A. A. Campbell-Swinton and postulated the use of cathode rays.",History of television
Q892,what are the side effects for lyme disease,"Early symptoms may include fever , headache , fatigue , depression , and a characteristic circular skin rash called erythema migrans (EM).",Lyme disease
Q893,what are the side effects for lyme disease,"Left untreated, later symptoms may involve the joints, heart, and central nervous system .",Lyme disease
Q894,when did the movie deep blue sea come out,"Deep Blue Sea is a 1999 science fiction horror film that stars Saffron Burrows , Thomas Jane , LL Cool J , Michael Rapaport , Stellan Skarsgård and Samuel L. Jackson .",Deep Blue Sea
Q895,when did the movie deep blue sea come out,"The film was directed by Renny Harlin and was released in the United States on July 28, 1999.",Deep Blue Sea
Q896,who wrote the song for star wars,"The music of Star Wars consists of the scores written for all six Star Wars films by composer John Williams from 1977 to 1983 for the Original Trilogy , and 1999 to 2005 for the Prequel Trilogy .",Star Wars music
Q897,what are a and r reps,Artists and repertoire (A&R) is the division of a record label or music publishing company that is responsible for talent scouting and overseeing the artistic development of recording artists and/or songwriters.,Artists and repertoire
Q898,what measurement is a furlong,"A furlong is a measure of distance in imperial units and U.S. customary units equal to one-eighth of a mile , equivalent to 220 yards , 660 feet , 40 rods , or 10 chains .",Furlong
Q899,where does ray lamontagne live,He lives in Massachusetts with his wife and two children.,Ray lamontagne
Q900,when the wind blows james patterson,When the Wind Blows is a novel by James Patterson .,When the Wind Blows (James Patterson novel)
Q901,who made facebook,"It was founded in February 2004 by Mark Zuckerberg with his college roommates and fellow Harvard University students Eduardo Saverin , Andrew McCollum , Dustin Moskovitz and Chris Hughes .",Facebook
Q902,what are the catholic gifts of the holy spirit,"The seven gifts of the Holy Spirit is an enumeration of seven spiritual gifts originating with patristic authors, later elaborated by five intellectual virtues and four other groups of ethical characteristics.",Seven gifts of the Holy Spirit
Q903,what are the catholic gifts of the holy spirit,"They are: wisdom, understanding, wonder and awe (fear of the Lord) , counsel, knowledge, fortitude, and piety (reverence).",Seven gifts of the Holy Spirit
Q904,where do you find iodine,"Iodine is found on Earth mainly as the highly water-soluble iodide ion, I−, which concentrates it in oceans and brine pools .",Iodine
Q905,what are lobbying groups,"Lobbying (also lobby) is the act of attempting to influence decisions made by officials in the government , most often legislators or members of regulatory agencies .",Lobbying
Q906,what are lobbying groups,"Lobbying is done by many different types of people and organized groups, including individuals in the private sector , corporations , fellow legislators or government officials, or advocacy groups (interest groups).",Lobbying
Q907,what kind of people are on the show skins,"Skins is a British teen drama that follows the lives of a group of teenagers in Bristol , South West England , through the two years of sixth form .",Skins (UK TV series)
Q908,who played the drums in the band cream back in 1968,"Cream were a 1960s British rock supergroup consisting of bassist/vocalist Jack Bruce , guitarist/vocalist Eric Clapton , and drummer Ginger Baker .",Cream (band)
Q909,what president made decision to buy louisiana,The purchase of the territory of Louisiana took place during the presidency of Thomas Jefferson .,Louisiana Purchase
Q910,who sang cool jerk,"""Cool Jerk"" is a popular song written by Donald Storball and originally performed by The Capitols .",Cool Jerk
Q911,what is a league in the sea,"In the context of nautical distances, the 3 mile (4.8 km) distance corresponds to how far an observer of average height (5'9"" or 1.78 m) can see when standing at sea level.",League (unit)
Q912,what nationality is kris jenner,"Kristen Mary ""Kris"" Jenner (née Houghton, previously Kardashian; born November 5, 1955) is an American socialite, author and television personality.",Kris Jenner
Q913,when will ie9 be released,"It was released to the public on March 14, 2011.",Internet Explorer 9
Q914,when did classification of races begin,"First used to denote national affiliations, the term began to be used to relate to physical traits in the 17th century.",Race (human classification)
Q915,when did lucy stone died,"Lucy Stone (August 13, 1818 – October 19, 1893) was a prominent American abolitionist and suffragist , and a vocal advocate and organizer promoting rights for women .",Lucy Stone
Q916,what are stocks and bonds,"In finance , a bond is an instrument of indebtedness of the bond issuer to the holders.",Bond (finance)
Q917,what are stocks and bonds,"Bonds and stocks are both securities , but the major difference between the two is that (capital) stockholders have an equity stake in the company (i.e. they are owners), whereas bondholders have a creditor stake in the company (i.e. they are lenders).",Bond (finance)
Q918,what are the boundaries of the pelvic outlet,The lower circumference of the lesser pelvis is very irregular; the space enclosed by it is named the inferior aperture or pelvic outlet.,Pelvic outlet
Q919,what states has the electric chair,"As of 2010, electrocution is an optional form of execution in Alabama , Florida , South Carolina and Virginia .",Electric chair
Q920,what are private labels,Private label products or services are typically those manufactured or provided by one company for offer under another company's brand .,Private label
Q921,when did germans enter paris in ww2,The Liberation of Paris (also known as the Battle for Paris) took place during World War II from 19 August 1944 until the surrender of the occupying German garrison on 25 August.,Liberation of Paris
Q922,who wrote the song feelin alright,"""Feelin' Alright?"" also known as ""Feeling Alright"" is a song written by Dave Mason of the English rock band Traffic from their eponymous 1968 album, Traffic .",Feelin' Alright
Q923,what is a neuro tract,"A neural pathway, neural tract, or neural face, connects one part of the nervous system with another and usually consists of bundles of elongated, myelin -insulated neurons , known collectively as white matter .",Neural pathway
Q924,when did dr.carter g woodson die,"Carter Godwin Woodson (December 19, 1875April 3, 1950) was an African-American historian , author , journalist and the founder of the Association for the Study of African American Life and History .",Carter G. Woodson
Q925,what are loan originations,"Loan origination is the process by which a borrower applies for a new loan , and a lender processes that application.",Loan origination
Q926,what are loan originations,Loan origination is a specialized version of new account opening for financial services organizations.,Loan origination
Q927,When did the New Deal start,The New Deal was a series of economic programs enacted in the United States between 1933 and 1936.,New Deal
Q928,what year did aerosmith i dont want to miss a thing,"""I Don't Want to Miss a Thing"" is a song performed by American rock band Aerosmith for the 1998 film Armageddon .",I Don't Want to Miss a Thing
Q929,when did daylight savings time start,The modern idea of daylight saving was first proposed in 1895 by George Vernon Hudson and it was first implemented during the First World War .,Daylight saving time
Q930,What region of France is Montargis in?,The town is located about south of Paris and east of Orléans in the Gâtinais .,Montargis
Q931,what year lord of rings made?,"It was written in stages between 1937 and 1949, much of it during World War II .",The Lord of the Rings
Q932,what time will the world end on may 21,"Camping suggested that it would occur at 6 pm local time, with the rapture sweeping the globe time zone by time zone, while some of his supporters claimed that around 200 million people (approximately 3% of the world's population) would be 'raptured'.",2011 end times prediction
Q933,what is  file based system,"In computing , a file system (or filesystem) is a type of data store which can be used to store, retrieve and update a set of files .",File system
Q934,who makes triumph motorcycles,"Triumph Engineering Co Ltd, a defunct British motorcycle manufacturer",Triumph Motorcycles
Q935,who makes triumph motorcycles,"Triumph Motorcycles Ltd , a current British motorcycle manufacturer",Triumph Motorcycles
Q936,What political conflicts marked the presidency of William Howard Taft?,"Abroad, Taft sought to further the economic development of nations in Latin America and Asia through "" Dollar Diplomacy "", and showed decisiveness and restraint in response to revolution in Mexico .",William Howard Taft
Q937,what temperature is a salt ice bath,"A cooling bath, in laboratory chemistry (often but not always organic chemistry ) practice, is a liquid mixture which is used to maintain low temperatures, typically between 13 °C and −196 °C.",Cooling bath
Q938,when slavery abolished,In January 1863 President Lincoln freed slaves in the Confederacy through the Emancipation Proclamation .,Slavery in the United States
Q939,when slavery abolished,"After the war, the Thirteenth Amendment , effective December 1865, abolished slavery throughout the entire United States, including the Border states and the Indian territories.",Slavery in the United States
Q940,what produces primary xylem?,"The word xylem is derived from the Greek word ξύλον (xylon), meaning ""wood""; the best-known xylem tissue is wood , though it is found throughout the plant.",Xylem
Q941,what is a ti 82?,The TI-82 is a graphing calculator made by Texas Instruments .,TI-82
Q942,what is a ti 82?,"The TI-82 was designed in 1993 as a stripped down, more user friendly version of the TI-85 , and as a replacement for the TI-81 .",TI-82
Q943,what makes of the united states,"The United States of America (USA or U.S.A.), commonly called the United States (US or U.S.) or America, is a federal republic consisting of fifty states and a federal district .",United States
Q944,what makes of the united states,"The lower forty-eight contiguous states and the federal district of Washington, D.C. are in central North America between Canada and Mexico.",United States
Q945,what makes of the united states,"The state of Alaska is west of Canada and east of Russia across the Bering Strait, and the state of Hawaii is in the mid-North Pacific.",United States
Q946,what makes of the united states,The country also has five populated and nine unpopulated territories in the Pacific and the Caribbean.,United States
Q947,what are circumpolar constellations,"In astronomy, the circumpolar constellations are constellations that never set from the viewer's perspective.",Circumpolar constellation
Q948,where do sesame seeds come from,Numerous wild relatives occur in Africa and a smaller number in India.,Sesame
Q949,who owned kansas before it became a state,"It is named after the Kansas River which flows through it, which in turn was named after the Kansa Native American tribe, which inhabited the area.",Kansas
Q950,where did the olmecs come from,"They lived in the tropical lowlands of south-central Mexico, in the modern-day states of Veracruz and Tabasco .",Olmec
Q951,what states allow same sex marriage,"As of May 2013, ten states— Connecticut , Iowa , Maine , Maryland , Massachusetts , New Hampshire , New York , Rhode Island , Vermont , and Washington —as well as the District of Columbia and three Native American tribes —have legalized same-sex marriage, representing 16.1% of the U.S. population.",Same-sex marriage in the United States
Q952,when did thomas jefferson become president,"Thomas Jefferson (April 13, 1743 (April 2, 1743 O.S. ) – July 4, 1826) was an American Founding Father , the principal author of the Declaration of Independence (1776) and the third President of the United States (1801–1809).",Thomas Jefferson
Q953,when did thomas jefferson become president,"Elected president in what Jefferson called the Revolution of 1800 , he oversaw the purchase of the vast Louisiana Territory from France (1803), and sent the Lewis and Clark Expedition (1804–1806) to explore the new west.",Thomas Jefferson
Q954,who sang sun city,"""Sun City"" is a 1985 protest song written by Steven Van Zandt , produced by Van Zandt and Arthur Baker and recorded by Artists United Against Apartheid to convey opposition to the South African policy of apartheid .",Sun City (song)
Q955,who won the most nba championships,Bill Russell won 11 championships with the Boston Celtics .,List of NBA players with most championships
Q956,when did the word fuck begin,"It is usually considered to be first attested to around 1475, but it may be considerably older.",Fuck
Q957,what are the 7 continents,"They are generally identified by convention rather than any strict criteria, with up to seven regions commonly regarded as continents—they are (from largest in size to smallest): Asia , Africa , North America , South America , Antarctica , Europe , and Australia .",Continent
